isbn,rating_book_id,book_title,rating,price,publisher_name,marketing_spend,genre_desc,series_name,format_desc,author_name,Year Won,sales_count,invoice
989-28-654-4370-9,DE571,Don t Check your Ego,3.99,15.99,Palimpsest Printing,48000.0,Nonfiction,,Trade paperback,R.M. Larner,,45.0,719.55
989-28-654-9826-6,DE571,Don t Check your Ego,3.99,28.99,Palimpsest Printing,48000.0,Nonfiction,,Hardcover,R.M. Larner,,14.0,405.85999999999996
989-28-79-91028-0,TM925,The Mallemaroking,4.66,12.5,Etaoin Shrdlu Press,2320000.0,SciFi/Fantasy,The Mallemaroking Saga,Trade paperback,Bianca Thompson,2179.0,1368.0,17100.0
989-28-79-13801-1,TM925,The Mallemaroking,4.66,8.99,Etaoin Shrdlu Press,2320000.0,SciFi/Fantasy,The Mallemaroking Saga,Mass market paperback,Bianca Thompson,2179.0,4568.0,41066.32
989-28-79-71565-6,TM925,The Mallemaroking,4.66,21.5,Etaoin Shrdlu Press,2320000.0,SciFi/Fantasy,The Mallemaroking Saga,Hardcover,Bianca Thompson,2179.0,1279.0,27498.5
989-28-79-43574-5,TM925,The Mallemaroking,4.66,23.99,Etaoin Shrdlu Press,2320000.0,SciFi/Fantasy,The Mallemaroking Saga,Graphic,Bianca Thompson,2179.0,119.0,2854.81
989-28-79-26824-4,TT773,The Triscanipt,4.43,8.99,Etaoin Shrdlu Press,2320000.0,SciFi/Fantasy,,Mass market paperback,Ursula Karénine,,1552.0,13952.48
989-28-79-51397-9,TT773,The Triscanipt,4.43,21.5,Etaoin Shrdlu Press,2320000.0,SciFi/Fantasy,,Hardcover,Ursula Karénine,,249.0,5353.5
989-28-79-22871-2,TI225,The Thing Is,4.33,8.99,Etaoin Shrdlu Press,2320000.0,Fiction,Meddler Trilogy,Mass market paperback,Gloria Green,,315.0,2831.85
989-28-3705-492-6,CH391,Can I Be Honest?,4.37,11.99,Cedar House Publishers,72000.0,Young Adult,,Trade paperback,Charles Fenimore,,1309.0,15694.91
989-28-79-23015-9,CH391,Can I Be Honest?,4.37,18.5,Cedar House Publishers,72000.0,Young Adult,,Hardcover,Charles Fenimore,,104.0,1924.0
989-28-79-45675-7,SS361,Some Eggs or Something?,3.89,12.5,Etaoin Shrdlu Press,2320000.0,Fiction,,Trade paperback,Lori Kaan,,1349.0,16862.5
989-28-79-67891-3,SS361,Some Eggs or Something?,3.89,27.99,Etaoin Shrdlu Press,2320000.0,Fiction,,Hardcover,Lori Kaan,,47.0,1315.53
989-28-79-23023-4,PP866,Portmeirion,4.42,8.99,Etaoin Shrdlu Press,2320000.0,SciFi/Fantasy,The Mallemaroking Saga,Mass market paperback,Bianca Thompson,2188.0,3606.0,32417.940000000002
989-28-79-40897-8,PP866,Portmeirion,4.42,21.5,Etaoin Shrdlu Press,2320000.0,SciFi/Fantasy,The Mallemaroking Saga,Hardcover,Bianca Thompson,2188.0,1030.0,22145.0
