sale_date,isbn,count
2193-07-19,989-28-229-1404-4,9
2193-08-22,989-28-79-16808-7,1
2193-07-19,989-28-229-0197-6,2
2193-08-03,989-28-79-51397-9,3
2193-08-14,989-28-79-45675-7,6
2193-12-13,989-28-79-11297-4,2
2193-08-09,989-28-229-6632-6,6
2193-08-12,989-28-3705-136-9,1
2193-06-29,989-28-79-16533-8,1
2193-04-21,989-28-3705-583-1,1
2193-10-09,989-28-79-55824-6,1
2193-04-17,989-28-79-71565-6,5
2193-04-27,989-28-229-7592-2,5
2193-07-12,989-28-79-44730-4,1
2193-07-13,989-28-79-82197-5,1
2193-01-26,989-28-79-01991-4,1
2193-12-02,989-28-79-13871-4,6
2193-03-27,989-28-3705-222-9,1
2193-08-22,989-28-79-32105-5,1
2193-03-22,989-28-79-82749-6,2
2193-08-23,989-28-79-45675-7,6
2193-10-25,989-28-3705-222-9,9
2193-08-10,989-28-79-91028-0,9
2193-11-23,989-28-79-69807-2,8
2193-06-23,989-28-229-0197-6,2
2193-12-20,989-28-79-13801-1,25
2193-08-27,989-28-79-82749-6,2
2193-02-15,989-28-3705-492-6,2
2193-06-09,989-28-229-9769-6,3
2193-09-10,989-28-3705-966-2,1
2193-11-18,989-28-3705-152-9,2
2193-02-24,989-28-79-27078-0,1
2193-03-09,989-28-79-61125-5,1
2193-05-25,989-28-79-30536-9,2
2193-04-04,989-28-229-7592-2,3
2193-08-20,989-28-3705-607-4,1
2193-08-13,989-28-3705-592-3,1
2193-09-01,989-28-79-55752-2,1
2193-04-14,989-28-654-5018-9,1
2193-04-24,989-28-229-7592-2,3
2193-02-01,989-28-229-1404-4,8
2193-12-09,989-28-79-86624-2,1
2193-05-21,989-28-3705-987-7,4
2193-07-30,989-28-79-52883-6,1
2193-08-20,989-28-3705-966-2,1
2193-08-21,989-28-79-30536-9,3
2193-12-08,989-28-654-6033-1,1
2193-12-12,989-28-79-13801-1,16
2193-12-14,989-28-3705-054-6,2
2193-11-23,989-28-229-3157-7,1
2193-08-30,989-28-79-82749-6,8
2193-12-31,989-28-79-74374-1,3
2193-08-31,989-28-79-51397-9,3
2193-04-22,989-28-3705-222-9,5
